customer_id,age,gender,location,monthly_income,monthly_emi_outflow,total_credit_limit,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,months_since_last_default,target_credit_score_movement
56,51,Female,Rural,2470.75,320.05,10955.29,4491.67,0.41,1,96,0,2,-44.51,0.0,,stable
57,29,Male,Metro,6355.78,599.34,28157.69,7433.63,0.264,1,100,0,0,-92.09,0.0,,stable
58,36,Female,Metro,3596.55,406.95,13509.13,6470.87,0.479,1,94,0,3,-56.11,6049.05,,decrease
59,43,Male,Urban,901.26,58.61,4180.46,811.01,0.194,1,100,0,0,-10.05,0.0,,increase
60,51,Male,Metro,4111.67,260.55,13442.02,1599.6,0.119,2,98,0,1,-17.83,0.0,,stable
61,34,Other,Urban,2849.9,238.13,9703.79,3396.33,0.35,1,98,0,1,-37.87,0.0,,stable
62,37,Male,Metro,12387.07,1366.21,67617.51,7978.87,0.118,2,94,0,3,-69.19,0.0,,decrease
63,26,Female,Urban,8399.19,1346.35,36803.41,20683.52,0.562,2,98,0,1,-230.6,0.0,,stable
64,25,Female,Urban,2893.59,299.36,7429.94,3365.76,0.453,2,81,1,2,-2.08,0.0,,decrease
65,49,Male,Urban,14829.43,1675.51,80922.7,11814.71,0.146,3,98,0,1,-131.72,0.0,,increase
66,56,Female,Metro,11961.87,1565.46,45231.43,7237.03,0.16,5,94,0,3,-62.76,0.0,,decrease
67,39,Female,Rural,4261.97,512.63,20760.75,8657.23,0.417,0,96,0,2,-85.8,0.0,,stable
68,52,Female,Rural,6425.53,690.15,31054.9,11210.82,0.361,1,98,0,1,-124.99,0.0,,increase
69,44,Female,Urban,3095.65,355.7,14544.03,2428.85,0.167,3,98,0,1,-27.08,0.0,,increase
70,32,Male,Urban,1070.79,161.6,3987.08,1407.44,0.353,4,100,0,0,-17.44,0.0,,stable
71,44,Male,Urban,6394.08,593.26,33512.14,7908.87,0.236,0,98,0,1,-88.18,0.0,,stable
72,58,Female,Metro,2770.99,591.21,12516.46,7146.9,0.571,4,88,0,6,-35.41,0.0,,decrease
73,39,Male,Metro,6142.9,1010.23,32143.1,11057.23,0.344,4,100,0,0,-136.98,0.0,,stable
74,58,Male,Rural,6800.16,688.97,28690.59,7115.27,0.248,2,96,0,2,-70.51,0.0,66.0,stable
75,18,Male,Metro,1846.92,209.51,10645.16,3023.23,0.284,3,100,0,0,-37.45,0.0,,stable
76,49,Female,Urban,6933.86,818.7,26665.45,9386.24,0.352,2,100,0,0,-116.28,0.0,,increase
77,41,Male,Metro,12840.36,2612.77,75709.82,34372.26,0.454,3,98,0,1,-383.22,0.0,,stable
78,36,Female,Rural,1190.02,105.99,3188.31,1278.51,0.401,1,94,0,3,-11.09,0.0,,decrease
79,41,Male,Metro,11797.5,550.57,33859.92,9074.46,0.268,1,100,0,0,-112.41,0.0,,increase
80,18,Male,Urban,22670.08,4189.2,115352.24,40488.64,0.351,2,92,0,4,-300.94,0.0,,decrease
81,37,Female,Rural,4266.04,254.56,12761.14,3049.91,0.239,1,98,0,1,-34.0,0.0,,increase
82,44,Female,Urban,10074.95,1160.28,53027.26,9703.99,0.183,3,100,0,0,-120.21,0.0,,increase
83,57,Male,Urban,2969.77,132.11,12975.42,1310.52,0.101,2,96,0,2,-12.99,5927.48,,decrease
84,33,Male,Urban,11426.35,2140.45,40061.42,18668.62,0.466,3,90,0,5,-115.63,0.0,,decrease
85,30,Male,Urban,8575.05,1250.42,28322.06,8524.94,0.301,5,100,0,0,-105.61,0.0,36.0,stable
86,33,Female,Metro,8385.54,552.89,27048.65,6897.41,0.255,2,100,0,0,-85.44,0.0,16.0,increase
87,50,Male,Metro,8058.14,1062.3,26970.91,5151.44,0.191,3,98,0,1,-57.43,20853.98,,stable
88,43,Male,Urban,7907.99,832.25,40699.46,4558.34,0.112,4,98,0,1,-50.82,0.0,,increase
89,33,Female,Rural,4876.56,515.14,26431.53,4096.89,0.155,3,96,0,2,-40.6,14575.46,,decrease
90,46,Male,Urban,3036.51,259.19,12141.1,2161.12,0.178,2,98,0,1,-24.09,0.0,,stable
91,41,Male,Urban,5410.08,909.85,13122.31,8385.16,0.639,2,85,1,0,-25.97,0.0,,stable
92,51,Female,Urban,5803.03,498.58,16347.11,1095.26,0.067,4,98,0,1,-12.21,0.0,,stable
93,31,Female,Rural,2242.31,139.93,7915.01,2152.88,0.272,1,100,0,0,-26.67,0.0,,increase
94,36,Female,Rural,4720.44,420.06,27890.64,7586.25,0.272,2,92,0,4,-56.39,0.0,,stable
95,35,Male,Urban,5746.17,351.5,14884.97,2456.02,0.165,2,98,0,1,-27.38,7510.96,,stable
96,22,Female,Metro,5001.04,290.94,21254.8,3018.18,0.142,1,98,0,1,-33.65,0.0,,increase
97,43,Female,Metro,9213.64,1968.42,45411.75,33105.17,0.729,1,90,0,0,-205.05,0.0,,stable
98,43,Male,Metro,10878.09,1142.52,28947.94,13721.32,0.474,2,100,0,0,-169.98,0.0,,increase
99,40,Female,Rural,3204.84,287.44,8942.03,1904.65,0.213,3,98,0,1,-21.24,0.0,,increase
100,37,Male,Urban,6660.21,201.59,36752.8,1690.63,0.046,1,98,0,1,-18.85,0.0,,increase
101,23,Female,Urban,11338.39,949.73,41958.62,4741.32,0.113,2,98,0,1,-52.86,26739.51,,stable
102,34,Female,Rural,2514.27,179.84,14468.29,1794.07,0.124,2,100,0,0,-22.22,0.0,,increase
103,35,Female,Rural,1591.99,118.76,2828.7,1190.88,0.421,2,66,2,2,10.33,6280.41,,decrease
104,30,Male,Rural,2639.1,386.8,9139.99,2888.24,0.316,5,81,1,2,-1.79,0.0,,decrease
105,38,Female,Metro,10411.44,531.48,29315.08,5188.77,0.177,1,98,0,1,-57.85,0.0,,stable
106,44,Male,Metro,5229.85,437.3,16538.99,6880.22,0.416,3,100,0,0,-85.23,0.0,,decrease
107,62,Female,Metro,3025.58,141.68,7698.31,4364.94,0.567,0,96,0,2,-43.26,0.0,,decrease
108,42,Female,Urban,14590.03,2748.11,86868.38,45432.16,0.523,1,98,0,1,-506.53,54788.25,,stable
109,43,Male,Urban,2626.15,263.02,6940.35,2456.88,0.354,4,100,0,0,-30.44,0.0,,increase
110,39,Male,Metro,6389.63,501.56,32880.56,2466.04,0.075,4,100,0,0,-30.55,0.0,,increase
111,18,Female,Urban,10047.87,880.37,26564.17,9456.84,0.356,2,85,1,0,-29.29,0.0,55.0,decrease
112,39,Male,Metro,11509.53,2359.94,42233.79,14739.59,0.349,5,100,0,0,-182.59,0.0,,stable
113,40,Female,Urban,8035.59,1525.72,28707.69,21358.52,0.744,1,88,0,1,-105.83,0.0,,stable
114,69,Male,Urban,3759.15,395.83,15057.22,8868.7,0.589,1,96,0,2,-87.89,0.0,,stable
115,37,Female,Urban,8866.58,1907.82,51597.95,21774.33,0.422,1,85,1,0,-67.43,0.0,16.0,stable
116,43,Male,Rural,5152.99,360.66,24948.01,4415.8,0.177,1,96,0,2,-43.76,0.0,27.0,stable
117,39,Female,Urban,7975.31,1157.71,44272.08,8677.33,0.196,4,96,0,2,-85.99,0.0,,stable
118,25,Female,Metro,18793.85,3140.16,84531.06,65173.45,0.771,1,60,2,0,807.36,0.0,,decrease
119,53,Female,Metro,3121.95,281.48,18568.5,6833.21,0.368,1,92,0,4,-50.79,0.0,,decrease
120,49,Male,Urban,7857.14,1583.82,46331.15,22424.28,0.484,5,100,0,0,-277.79,0.0,,increase
121,49,Other,Rural,5633.55,441.69,32396.63,9524.61,0.294,1,96,0,2,-94.39,0.0,,stable
122,29,Male,Rural,9877.78,886.03,35209.25,2992.79,0.085,3,98,0,1,-33.37,0.0,,increase
123,56,Female,Rural,17708.8,1522.38,76424.27,11310.79,0.148,3,83,1,1,-21.02,46547.01,,decrease
124,23,Female,Urban,20384.43,1767.11,105162.46,11673.03,0.111,3,100,0,0,-144.6,0.0,,increase
125,47,Male,Urban,10764.6,1516.18,43489.35,16091.06,0.37,4,98,0,1,-179.4,36087.04,,stable
126,66,Male,Urban,3945.91,491.94,19305.96,3880.5,0.201,3,98,0,1,-43.26,0.0,,stable
127,28,Male,Urban,4464.45,253.86,13648.5,7779.64,0.57,0,98,0,1,-86.74,0.0,,increase
128,33,Female,Metro,11929.97,1642.58,56145.22,22570.38,0.402,2,100,0,0,-279.6,0.0,,stable
129,41,Female,Metro,2925.59,193.54,11002.68,1463.36,0.133,3,96,0,2,-14.5,9968.96,,decrease
130,33,Male,Urban,5095.28,580.64,29412.39,7617.81,0.259,3,98,0,1,-84.93,19786.47,,decrease
131,21,Male,Metro,4294.54,455.53,19077.41,5208.13,0.273,2,98,0,1,-58.07,11539.65,,stable
132,40,Female,Rural,2237.85,350.12,11233.41,5998.64,0.534,1,94,0,3,-52.02,0.0,,decrease
133,27,Male,Rural,6066.01,710.0,34079.7,8315.45,0.244,2,98,0,1,-92.71,0.0,,decrease
134,45,Male,Urban,10427.73,1269.73,45616.58,20618.69,0.452,4,98,0,1,-229.88,12422.39,,decrease
135,28,Male,Metro,10960.42,1932.02,52893.12,36919.4,0.698,3,81,1,2,-22.87,0.0,,decrease
136,58,Male,Urban,6517.44,894.28,19965.05,9942.59,0.498,2,83,1,1,-18.48,0.0,,decrease
137,30,Female,Urban,4688.79,977.0,18618.16,8936.72,0.48,3,79,1,3,5.54,0.0,,decrease
138,36,Female,Urban,4155.88,316.48,16335.42,6370.81,0.39,1,98,0,1,-71.03,4939.78,,decrease
139,49,Male,Urban,11042.74,1296.91,41525.24,5398.28,0.13,5,100,0,0,-66.87,0.0,,increase
140,25,Female,Rural,3565.09,437.25,10274.17,2188.4,0.213,5,96,0,2,-21.69,0.0,,increase
141,42,Male,Rural,3494.43,316.55,20249.48,4576.38,0.226,2,98,0,1,-51.02,12446.3,,stable
142,55,Female,Urban,8001.03,2240.25,44878.11,35184.44,0.784,1,73,1,1,152.55,19225.09,,decrease
143,20,Male,Metro,3623.07,204.38,13257.9,3685.7,0.278,1,92,0,4,-27.39,0.0,,decrease
144,42,Female,Urban,6368.58,878.08,24935.85,6782.55,0.272,3,98,0,1,-75.62,13044.39,,stable
145,43,Male,Rural,3521.21,609.91,20514.77,6072.37,0.296,2,98,0,1,-67.7,0.0,,stable
146,49,Male,Rural,3187.47,398.43,10857.59,3376.71,0.311,3,100,0,0,-41.83,0.0,,increase
147,25,Female,Metro,6044.27,493.87,23890.6,6737.15,0.282,1,94,0,3,-58.42,0.0,,stable
148,24,Male,Rural,8648.24,623.36,23128.72,3561.82,0.154,4,100,0,0,-44.12,0.0,,increase
149,46,Female,Metro,8148.31,348.14,41521.63,2864.99,0.069,1,98,0,1,-31.94,0.0,61.0,increase
150,43,Female,Urban,7366.53,858.35,27669.86,9075.71,0.328,1,83,1,1,-16.86,0.0,,decrease
151,43,Female,Rural,8675.49,2509.43,49356.06,30798.18,0.624,4,98,0,1,-343.37,0.0,,increase
152,44,Male,Urban,9284.48,1591.41,52751.06,18832.13,0.357,1,98,0,1,-209.96,0.0,,increase
153,31,Male,Urban,5294.92,504.27,14787.37,7157.09,0.484,3,96,0,2,-70.93,0.0,,stable
154,42,Female,Metro,10629.64,1103.63,47300.05,11872.31,0.251,1,98,0,1,-132.37,0.0,,increase
155,43,Male,Metro,6399.2,969.15,32444.44,14924.44,0.46,4,100,0,0,-184.88,0.0,,increase
156,31,Female,Rural,6930.98,955.58,24290.87,10566.53,0.435,3,85,1,0,-32.72,0.0,,stable
157,62,Female,Rural,10573.74,2405.08,60982.08,20429.0,0.335,3,100,0,0,-253.07,0.0,,stable
158,45,Female,Rural,7342.56,958.02,31905.51,6923.5,0.217,2,100,0,0,-85.77,0.0,,increase
159,25,Female,Metro,3008.96,289.88,12113.93,4966.71,0.41,1,98,0,1,-55.37,3594.43,,decrease
160,47,Male,Rural,3602.01,372.45,16356.37,4825.13,0.295,2,94,0,3,-41.84,10742.29,,decrease
161,28,Female,Metro,11329.13,1467.3,60921.36,15047.58,0.247,2,98,0,1,-167.77,0.0,,increase
162,49,Female,Metro,1592.85,156.81,5809.84,1045.77,0.18,4,100,0,0,-12.95,0.0,,increase
163,53,Male,Urban,7525.29,841.92,24261.4,12009.39,0.495,4,85,1,0,-37.19,0.0,,decrease
164,30,Male,Urban,7234.84,484.56,36966.75,5434.11,0.147,2,100,0,0,-67.32,0.0,,increase
165,51,Female,Metro,48580.61,8837.88,206016.5,130408.44,0.633,1,85,1,0,-403.87,0.0,,decrease
166,44,Female,Metro,9744.24,2435.36,56308.36,29392.96,0.522,4,100,0,0,-364.12,0.0,,stable
167,49,Female,Urban,5561.21,520.29,27372.42,9552.97,0.349,0,98,0,1,-106.51,0.0,,stable
168,62,Female,Metro,16259.1,2675.06,69610.13,31185.34,0.448,3,100,0,0,-386.32,0.0,,increase
169,37,Male,Metro,5657.61,870.31,29367.0,10836.42,0.369,2,96,0,2,-107.39,0.0,,decrease
170,30,Female,Urban,6180.18,1292.38,23328.52,7301.83,0.313,8,100,0,0,-90.45,0.0,,stable
171,29,Female,Metro,7662.02,644.81,27318.7,14670.14,0.537,1,96,0,2,-145.39,0.0,,stable
172,30,Male,Urban,9133.18,1463.18,31086.56,8548.8,0.275,4,98,0,1,-95.31,0.0,,stable
173,39,Male,Rural,2672.3,297.64,13586.77,5597.75,0.412,2,96,0,2,-55.48,0.0,,stable
174,44,Female,Metro,12903.97,2314.57,55069.61,15694.84,0.285,3,98,0,1,-174.98,0.0,,stable
175,43,Female,Rural,3529.74,175.46,12347.22,2469.44,0.2,1,98,0,1,-27.53,0.0,,increase
176,49,Male,Metro,30437.85,1705.04,144485.27,25284.92,0.175,1,98,0,1,-281.9,0.0,,stable
177,40,Female,Metro,2496.53,515.74,13859.81,5932.0,0.428,2,96,0,2,-58.79,5498.94,,decrease
178,57,Male,Urban,3531.09,78.45,9065.29,290.09,0.032,1,100,0,0,-3.59,0.0,21.0,increase
179,36,Male,Urban,1449.56,75.75,4296.18,670.2,0.156,3,96,0,2,-6.64,4052.88,,decrease
180,72,Female,Urban,47806.2,6125.57,129152.01,26992.77,0.209,4,100,0,0,-334.38,0.0,,increase
181,47,Male,Metro,3050.32,428.1,8653.31,2232.55,0.258,4,98,0,1,-24.89,0.0,,stable
182,29,Female,Rural,8682.21,1781.11,48854.25,20763.06,0.425,3,96,0,2,-205.77,10120.84,,decrease
183,27,Female,Rural,8483.86,644.4,25364.89,3956.92,0.156,4,94,0,3,-34.31,21267.57,,stable
184,45,Female,Rural,2704.83,212.67,12074.46,2620.16,0.217,1,100,0,0,-32.46,0.0,,stable
185,37,Male,Urban,10307.62,798.41,57529.74,10643.0,0.185,0,96,0,2,-105.47,0.0,,increase
186,48,Female,Urban,2839.04,269.82,12668.67,3762.59,0.297,0,98,0,1,-41.95,0.0,,increase
187,45,Female,Rural,2885.66,796.55,15963.18,9370.39,0.587,3,98,0,1,-104.47,0.0,,stable
188,39,Male,Rural,1709.0,294.66,9544.58,2577.04,0.27,4,98,0,1,-28.73,0.0,,stable
189,29,Male,Rural,8149.87,719.46,25339.93,10211.99,0.403,1,98,0,1,-113.85,0.0,7.0,stable
190,21,Female,Rural,1294.39,169.48,7566.3,1785.65,0.236,3,98,0,1,-19.91,2962.75,,stable
191,34,Male,Urban,7902.51,1122.22,33372.83,13716.23,0.411,2,81,1,2,-8.5,0.0,,decrease
192,50,Female,Metro,6603.22,1134.87,21652.98,11714.26,0.541,4,85,1,0,-36.28,0.0,,decrease
193,42,Female,Urban,20325.52,4388.61,106653.6,31569.47,0.296,7,100,0,0,-391.08,0.0,,increase
194,25,Male,Rural,5217.76,326.09,13153.54,2959.55,0.225,1,81,1,2,-1.83,0.0,,decrease
195,42,Male,Metro,13035.26,3139.17,46376.6,31304.2,0.675,4,98,0,1,-349.01,0.0,,decrease
196,44,Male,Metro,10298.69,572.13,53233.77,9156.21,0.172,0,100,0,0,-113.43,0.0,,increase
197,29,Male,Metro,6698.24,1032.59,39960.11,17822.21,0.446,2,98,0,1,-198.7,0.0,,stable
198,41,Female,Rural,11130.46,1054.65,41803.27,5727.05,0.137,2,98,0,1,-63.85,0.0,,stable
199,40,Male,Rural,6653.68,389.59,37615.51,3949.63,0.105,3,98,0,1,-44.03,0.0,,increase
200,26,Male,Metro,13506.44,741.9,41717.68,12390.15,0.297,2,94,0,3,-107.44,0.0,,stable
201,44,Male,Metro,3760.84,478.31,15898.18,5071.52,0.319,3,100,0,0,-62.83,0.0,,increase
202,46,Female,Urban,8684.62,1453.48,51537.86,9070.66,0.176,3,100,0,0,-112.37,0.0,,increase
203,52,Male,Urban,10516.94,518.38,51166.29,8033.11,0.157,2,100,0,0,-99.51,0.0,,stable
204,52,Female,Metro,3359.45,528.83,19745.81,5686.79,0.288,3,100,0,0,-70.45,0.0,,stable
205,23,Female,Rural,4842.97,194.28,25297.03,3743.96,0.148,1,94,0,3,-32.47,0.0,,stable
206,28,Male,Urban,1776.99,51.56,4940.83,1422.96,0.288,0,96,0,2,-14.1,0.0,,increase
207,46,Male,Urban,1975.57,82.14,7097.46,752.33,0.106,1,100,0,0,-9.32,0.0,,increase
208,46,Female,Rural,4890.66,1101.45,14354.01,9631.54,0.671,3,83,1,1,-17.9,0.0,,decrease
209,46,Female,Metro,25387.2,1769.93,74339.13,6987.88,0.094,3,94,0,3,-60.6,0.0,,stable
210,85,Male,Urban,22332.45,2239.12,132047.38,35520.75,0.269,1,98,0,1,-396.02,0.0,,stable
211,46,Female,Urban,4846.82,548.4,19306.86,5753.44,0.298,2,92,0,4,-42.76,0.0,,stable
212,53,Male,Rural,2620.08,311.19,8937.47,3521.36,0.394,1,100,0,0,-43.62,0.0,,increase
213,51,Male,Metro,13778.09,728.05,35323.51,11056.26,0.313,0,83,1,1,-20.54,25023.22,,decrease
214,47,Female,Rural,1254.52,105.33,6332.68,1101.89,0.174,2,94,0,3,-9.56,3370.59,,decrease
215,36,Male,Urban,4524.63,769.52,14819.58,7528.35,0.508,4,94,0,3,-65.28,14911.17,,decrease
216,49,Female,Rural,3020.79,401.37,11037.75,2262.74,0.205,3,96,0,2,-22.42,0.0,,increase
217,30,Female,Rural,4800.97,548.15,14276.74,6938.5,0.486,1,94,0,3,-60.17,16738.88,,decrease
218,37,Female,Metro,18855.49,2136.03,73882.95,12633.98,0.171,4,96,0,2,-125.21,0.0,,increase
219,34,Male,Metro,1176.18,184.64,3259.44,2059.97,0.632,1,92,0,4,-15.31,1550.86,,decrease
220,40,Male,Metro,8947.11,559.13,34282.57,6307.99,0.184,1,96,0,2,-62.51,0.0,,stable
221,67,Male,Urban,7629.52,848.54,43715.15,13114.54,0.3,3,100,0,0,-162.46,0.0,,increase
222,18,Male,Rural,4886.85,361.17,14340.19,2566.89,0.179,2,96,0,2,-25.44,0.0,,stable
223,48,Male,Metro,8829.04,1099.8,52629.04,17367.58,0.33,1,100,0,0,-215.15,0.0,,increase
224,20,Female,Urban,8599.84,1016.66,42719.06,14866.23,0.348,1,100,0,0,-184.16,0.0,,stable
225,34,Male,Rural,5697.76,973.03,17274.11,8395.22,0.486,3,85,1,0,-26.0,0.0,11.0,decrease
226,53,Female,Rural,1227.2,250.58,5707.06,2465.45,0.432,2,77,1,4,4.58,0.0,,decrease
227,40,Female,Urban,3219.8,297.83,10862.98,3867.22,0.356,3,96,0,2,-38.33,0.0,,stable
228,27,Female,Rural,15604.46,1419.27,57865.83,5265.79,0.091,3,96,0,2,-52.19,0.0,,increase
229,31,Female,Metro,3180.89,437.36,11823.86,3854.58,0.326,2,96,0,2,-38.2,9805.1,,decrease
230,48,Male,Metro,7617.98,1671.06,29402.61,10143.9,0.345,5,98,0,1,-113.09,0.0,,stable
231,31,Male,Metro,4345.55,120.7,25261.08,3208.16,0.127,0,100,0,0,-39.74,0.0,,increase
232,42,Female,Urban,9098.63,1554.45,25970.06,7739.08,0.298,4,98,0,1,-86.28,0.0,,increase
233,40,Female,Urban,5206.52,953.72,15974.95,3386.69,0.212,6,96,0,2,-33.56,0.0,,stable
234,32,Male,Metro,11386.15,1431.33,65611.29,10038.53,0.153,3,100,0,0,-124.36,0.0,,increase
235,65,Female,Metro,9414.08,1203.45,38156.73,12858.82,0.337,5,98,0,1,-143.36,0.0,,stable
236,47,Female,Metro,5480.72,862.18,26258.25,7667.41,0.292,4,100,0,0,-94.98,0.0,,increase
237,18,Male,Metro,1512.43,264.89,6898.17,3421.49,0.496,1,83,1,1,-6.36,0.0,,decrease
238,42,Male,Rural,2780.86,295.1,8926.84,3222.59,0.361,3,100,0,0,-39.92,0.0,,increase
239,32,Female,Rural,2192.05,126.24,12511.09,2389.62,0.191,0,100,0,0,-29.6,0.0,,increase
240,50,Male,Metro,3078.37,602.79,10074.64,5087.69,0.505,4,83,1,1,-9.45,0.0,,decrease
241,30,Male,Metro,10242.53,1145.23,49175.17,8851.53,0.18,4,98,0,1,-98.69,26262.05,,stable
242,38,Male,Rural,21040.92,4126.34,76168.53,20489.33,0.269,6,98,0,1,-228.44,0.0,,stable
243,46,Female,Metro,1282.05,112.75,7534.33,1860.98,0.247,1,98,0,1,-20.75,0.0,,stable
244,50,Female,Rural,1776.88,251.81,7615.33,5406.88,0.71,1,84,0,3,-13.4,0.0,,decrease
245,25,Male,Metro,8470.12,1052.76,25821.35,1523.46,0.059,5,100,0,0,-18.87,0.0,,increase
